,SPY,MAS,SNA,PGR,ATO,AMP,MHK,CTAS,GPS
329,415.2099914550781,64.55000305175781,236.009994506836,99.29000091552734,101.83999633789062,246.7100067138672,199.9100036621093,343.739990234375,32.40999984741211
330,412.1700134277344,63.5,234.57000732421875,99.79000091552734,104.58999633789062,242.3800048828125,196.0500030517578,341.70001220703125,31.780000686645508
331,416.0700073242188,64.05000305175781,236.9900054931641,101.20999908447266,103.38999938964844,247.3300018310547,201.1100006103516,347.6499938964844,32.810001373291016
332,412.2699890136719,64.06999969482422,240.22999572753903,100.1500015258789,103.4000015258789,242.8999938964844,199.1699981689453,348.5599975585937,33.2400016784668
333,416.739990234375,64.75,238.69000244140625,100.76000213623048,103.3499984741211,249.13999938964844,203.33999633789065,353.7200012207031,34.0099983215332
334,417.6099853515625,63.400001525878906,235.9900054931641,99.86000061035156,102.41000366210938,247.5,206.7100067138672,349.3599853515625,33.470001220703125
335,417.5199890136719,63.56999969482422,239.6999969482422,99.91000366210938,101.4800033569336,256.5299987792969,208.3600006103516,350.1499938964844,34.400001525878906
336,417.3999938964844,63.9900016784668,237.259994506836,100.36000061035156,100.3000030517578,256.6199951171875,207.6999969482422,345.20001220703125,34.2599983215332
337,420.05999755859375,64.94000244140625,240.02999877929688,101.9499969482422,102.18000030517578,260.8399963378906,212.97999572753903,351.0599975585937,33.849998474121094
338,417.2999877929688,63.880001068115234,237.6000061035156,100.73999786376952,103.58999633789062,258.3999938964844,205.5,345.1400146484375,33.099998474121094
339,418.2000122070313,65.13999938964844,238.3699951171875,102.55999755859376,103.79000091552734,257.8500061035156,221.0,350.6199951171875,35.470001220703125
340,415.6199951171875,65.54000091552734,243.0200042724609,103.12999725341795,103.5500030517578,257.5299987792969,219.83999633789065,350.7799987792969,35.220001220703125
341,415.75,65.5199966430664,245.4900054931641,103.8000030517578,102.52999877929688,261.25,224.3000030517578,348.5899963378906,34.369998931884766
342,419.0700073242188,66.05000305175781,250.1199951171875,104.1999969482422,103.3499984741211,263.6000061035156,224.8800048828125,350.25,34.72999954223633
343,422.1199951171875,66.86000061035156,251.5599975585937,105.18000030517578,103.0,265.6499938964844,229.7400054931641,360.6700134277344,35.439998626708984
344,417.9400024414063,67.11000061035156,255.3699951171875,105.73999786376952,103.51000213623048,264.1000061035156,226.47999572753903,360.739990234375,35.65999984741211
345,414.2099914550781,64.69000244140625,251.0200042724609,105.08000183105467,101.30999755859376,258.1499938964844,219.47000122070312,354.67999267578125,35.290000915527344
346,405.4100036621094,62.119998931884766,245.47999572753903,104.76000213623048,99.25,250.83999633789065,209.4900054931641,343.760009765625,32.459999084472656
347,410.2799987792969,63.77000045776367,252.97999572753903,106.0500030517578,100.61000061035156,253.9199981689453,218.97000122070312,353.2099914550781,33.5
348,416.5799865722656,64.1500015258789,255.19000244140625,107.0999984741211,100.45999908447266,258.3399963378906,219.1000061035156,358.0799865722656,35.709999084472656
349,415.5199890136719,63.810001373291016,253.08999633789065,106.55999755859376,98.51000213623048,257.1499938964844,218.25,352.0400085449219,36.33000183105469
350,411.9400024414063,61.650001525878906,250.25,105.9800033569336,99.13999938964844,252.77999877929688,214.69000244140625,348.0,34.97999954223633
351,410.8599853515625,61.43999862670898,249.1199951171875,101.0,98.11000061035156,252.259994506836,207.8600006103516,342.489990234375,33.939998626708984
352,415.2799987792969,61.22999954223633,248.13999938964844,102.04000091552734,98.31999969482422,252.7400054931641,207.9600067138672,349.4599914550781,32.58000183105469
353,414.9400024414063,60.66999816894531,249.97999572753903,99.13999938964844,98.18000030517578,254.2700042724609,207.2100067138672,348.42999267578125,32.540000915527344
354,419.1700134277344,60.650001525878906,253.3800048828125,97.45999908447266,98.43000030517578,254.7100067138672,208.27999877929688,354.5400085449219,32.779998779296875
355,418.239990234375,61.04999923706055,251.7100067138672,97.27999877929688,98.29000091552734,253.5,207.3600006103516,355.5,32.65999984741211
356,419.0700073242188,61.150001525878906,252.1499938964844,98.4000015258789,98.62000274658205,255.72999572753903,208.8099975585937,354.20001220703125,34.02000045776367
357,419.2900085449219,60.470001220703125,253.69000244140625,99.1500015258789,99.16000366210938,260.29998779296875,212.97999572753903,354.1499938964844,35.150001525878906
358,420.0400085449219,60.310001373291016,254.6199951171875,99.08000183105467,99.16999816894533,259.8399963378906,210.67999267578125,353.5400085449219,33.45000076293945
359,419.6700134277344,60.619998931884766,255.63999938964844,99.30999755859376,99.44000244140624,262.2799987792969,204.6499938964844,352.9800109863281,33.119998931884766
360,420.3299865722656,59.38999938964844,254.2899932861328,100.47000122070312,100.47000122070312,262.69000244140625,202.7700042724609,352.2799987792969,32.4900016784668
361,418.7699890136719,59.09000015258789,253.57000732421875,99.95999908447266,101.19000244140624,263.82000732421875,201.92999267578125,350.8800048828125,31.6200008392334
362,422.6000061035156,59.77999877929688,254.33999633789065,100.36000061035156,100.70999908447266,265.4100036621094,201.4100036621093,352.20001220703125,31.600000381469727
363,422.1900024414063,59.2400016784668,251.08999633789065,96.38999938964844,100.97000122070312,264.8599853515625,201.25,346.79998779296875,31.350000381469727
364,422.2799987792969,59.18000030517578,247.9499969482422,95.86000061035156,100.29000091552734,263.9100036621094,203.13999938964844,347.42999267578125,32.25
365,421.6499938964844,58.40999984741211,244.4199981689453,94.81999969482422,101.1500015258789,260.7200012207031,198.3999938964844,347.8800048828125,31.600000381469727
366,423.6099853515625,58.45000076293945,240.5800018310547,94.0199966430664,101.22000122070312,257.32000732421875,190.94000244140625,351.1099853515625,31.309999465942383
367,424.30999755859375,58.75,238.8800048828125,93.5999984741211,101.79000091552734,258.5599975585937,193.1300048828125,352.8399963378906,32.310001373291016
368,425.260009765625,58.84999847412109,235.25,93.12000274658205,101.0999984741211,254.6199951171875,188.2400054931641,353.260009765625,32.439998626708984
369,424.4800109863281,59.45000076293945,231.08999633789065,93.76000213623048,100.95999908447266,254.9199981689453,189.6199951171875,357.79998779296875,32.349998474121094
370,422.1099853515625,58.90999984741211,223.6600036621093,92.91999816894533,100.56999969482422,253.6100006103516,186.6000061035156,356.8399963378906,32.880001068115234
371,421.9700012207031,59.119998931884766,215.1300048828125,91.83999633789062,100.3000030517578,244.9600067138672,183.8800048828125,361.6900024414063,32.380001068115234
372,414.9200134277344,57.86000061035156,212.5800018310547,92.30999755859376,97.87999725341795,236.6600036621093,180.6600036621093,354.8599853515625,31.280000686645508
